reg_no | branch_code | subject_codes | subject_names | reason | old_result_url | new_result_url
22102113016 | 102 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22102113016 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22102113016&semester=IV&exam_held=December%2F2025
22102124001 | 102 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22102124001 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22102124001&semester=IV&exam_held=December%2F2025
22102126036 | 102 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22102126036 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22102126036&semester=IV&exam_held=December%2F2025
22102127015 | 102 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22102127015 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22102127015&semester=IV&exam_held=December%2F2025
22102128922 | 102 | 100408P,102405 | MOOCs / SWAYAM / NPTEL Courses - 1,Strength of Materials | External exam marked AB in current carry result,External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22102128922 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22102128922&semester=IV&exam_held=December%2F2025
22102129902 | 102 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22102129902 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22102129902&semester=IV&exam_held=December%2F2025
22102130902 | 102 | 100408P,102405 | MOOCs / SWAYAM / NPTEL Courses - 1,Strength of Materials | External exam marked AB in current carry result,External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22102130902 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22102130902&semester=IV&exam_held=December%2F2025
22102131008 | 102 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22102131008 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22102131008&semester=IV&exam_held=December%2F2025
22102134010 | 102 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22102134010 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22102134010&semester=IV&exam_held=December%2F2025
22102145002 | 102 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22102145002 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22102145002&semester=IV&exam_held=December%2F2025
22102146014 | 102 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22102146014 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22102146014&semester=IV&exam_held=December%2F2025
22102149911 | 102 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22102149911 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22102149911&semester=IV&exam_held=December%2F2025
