sem | branch_code | branch_name | subject_code | credit | total_sem_credit | status | sample_reg_nos
II | 106 | Information Technology | 100206 | 2.00 | 20.5 | MATCH | 22106107016
II | 106 | Information Technology | 100206P | 1.00 | 20.5 | MATCH | 22106107016
II | 106 | Information Technology | 105202 | 4.00 | 20.5 | MATCH | 22106107016
II | 107 | Leather Technology Engineering | 100203 | 4.00 | 20.5 | MATCH | 22107107001
II | 107 | Leather Technology Engineering | 100203P | 1.50 | 20.5 | MATCH | 22107107001
II | 107 | Leather Technology Engineering | 100204 | 3.00 | 20.5 | MATCH | 22107107001
II | 107 | Leather Technology Engineering | 100204P | 2.00 | 20.5 | MATCH | 22107107001
II | 107 | Leather Technology Engineering | 100205 | 1.00 | 20.5 | MATCH | 22107107001
II | 107 | Leather Technology Engineering | 100205P | 2.00 | 20.5 | MATCH | 22107107001
II | 107 | Leather Technology Engineering | 100206 | 2.00 | 20.5 | MATCH | 22107107001
II | 107 | Leather Technology Engineering | 100206P | 1.00 | 20.5 | MATCH | 22107107001
II | 107 | Leather Technology Engineering | 102202 | 4.00 | 20.5 | MATCH | 22107107001
II | 110 | Electrical & Electronics Engineering | 100201 | 4.00 | 17.5 | MATCH | 22110103006
II | 110 | Electrical & Electronics Engineering | 100201P | 1.00 | 17.5 | MATCH | 22110103006
II | 110 | Electrical & Electronics Engineering | 100202 | 1.00 | 17.5 | MATCH | 22110103006
II | 110 | Electrical & Electronics Engineering | 100202P | 2.00 | 17.5 | MATCH | 22110103006
II | 110 | Electrical & Electronics Engineering | 103201 | 4.00 | 17.5 | MATCH | 22110103006
II | 110 | Electrical & Electronics Engineering | 103201P | 1.50 | 17.5 | MATCH | 22110103006
II | 110 | Electrical & Electronics Engineering | 103202 | 4.00 | 17.5 | MATCH | 22110103006
II | 112 | Fire Technology and Safety | 100203 | 4.00 | 20.5 | MATCH | 22112111002
II | 112 | Fire Technology and Safety | 100203P | 1.50 | 20.5 | MATCH | 22112111002
II | 112 | Fire Technology and Safety | 100204 | 3.00 | 20.5 | MATCH | 22112111002
II | 112 | Fire Technology and Safety | 100204P | 2.00 | 20.5 | MATCH | 22112111002
II | 112 | Fire Technology and Safety | 100205 | 1.00 | 20.5 | MATCH | 22112111002
II | 112 | Fire Technology and Safety | 100205P | 2.00 | 20.5 | MATCH | 22112111002
II | 112 | Fire Technology and Safety | 100206 | 2.00 | 20.5 | MATCH | 22112111002
II | 112 | Fire Technology and Safety | 100206P | 1.00 | 20.5 | MATCH | 22112111002
II | 112 | Fire Technology and Safety | 102202 | 4.00 | 20.5 | MATCH | 22112111002
II | 113 | Mining Engineering | 100203 | 4.00 | 20.5 | MATCH | 22113124012
II | 113 | Mining Engineering | 100203P | 1.50 | 20.5 | MATCH | 22113124012
II | 113 | Mining Engineering | 100204 | 3.00 | 20.5 | MATCH | 22113124012
II | 113 | Mining Engineering | 100204P | 2.00 | 20.5 | MATCH | 22113124012
II | 113 | Mining Engineering | 100205 | 1.00 | 20.5 | MATCH | 22113124012
II | 113 | Mining Engineering | 100205P | 2.00 | 20.5 | MATCH | 22113124012
II | 113 | Mining Engineering | 100206 | 2.00 | 20.5 | MATCH | 22113124012
II | 113 | Mining Engineering | 100206P | 1.00 | 20.5 | MATCH | 22113124012
II | 113 | Mining Engineering | 102202 | 4.00 | 20.5 | MATCH | 22113124012
II | 114 | Chemical Engineering | 100201 | 4.00 | 17.5 | MATCH | 22114125006
II | 114 | Chemical Engineering | 100201P | 1.00 | 17.5 | MATCH | 22114125006
II | 114 | Chemical Engineering | 100202 | 1.00 | 17.5 | MATCH | 22114125006
II | 114 | Chemical Engineering | 100202P | 2.00 | 17.5 | MATCH | 22114125006
II | 114 | Chemical Engineering | 103201 | 4.00 | 17.5 | MATCH | 22114125006
II | 114 | Chemical Engineering | 103201P | 1.50 | 17.5 | MATCH | 22114125006
II | 114 | Chemical Engineering | 103202 | 4.00 | 17.5 | MATCH | 22114125006
II | 115 | Food Processing and Preservation | 100203 | 4.00 | 20.5 | MATCH | 22115117003
II | 115 | Food Processing and Preservation | 100203P | 1.50 | 20.5 | MATCH | 22115117003
II | 115 | Food Processing and Preservation | 100204 | 3.00 | 20.5 | MATCH | 22115117003
II | 115 | Food Processing and Preservation | 100204P | 2.00 | 20.5 | MATCH | 22115117003
